I,Q
0.000038755,0.000055793
-0.000084231,-0.00014699
0.00016497,0.00032718
-0.00028687,-0.00064716
0.00046806,0.0011591
-0.00072409,-0.0019758
0.001123,0.0032113
-0.0018075,-0.0051644
0.0033632,0.008685
-0.011062,-0.018965
-0.023944,0.034151
0.028411,0.041155
-0.0055404,-0.012511
0.023336,0.011711
0.0071443,-0.045531
-0.0024866,-0.031168
0.046537,-0.069188
-0.010198,-0.010785
-0.012754,0.06509
0.013922,0.017912
0.026068,-0.015769
-0.044187,-0.01489
-0.022519,0.06179
0.028995,0.020722
0.057517,0.035189
-0.038411,-0.031011
-0.028501,-0.076727
-0.0032424,-0.0045675
0.020396,-0.026867
0.0062498,0.019228
0.0099783,0.056721
0.016584,0.028557
0.042247,0.026398
0.0027335,-0.0060359
0.017547,-0.0096544
0.0083643,-0.020302
0.0095877,-0.0090568
0.050362,0.0098296
-0.018253,0.0083458
-0.020081,-0.035088
0.01761,-0.028679
0.061147,0.0101
0.027336,-0.018441
0.025472,-0.043838
-0.020004,-0.011998
-0.051426,0.022267
0.044605,0.010071
0.039142,0.015704
-0.024956,-0.027169
-0.043086,-0.051301
0.0048415,-0.036601
-0.046173,-0.041949
-0.044599,-0.011645
0.0072061,0.033076
0.016057,-0.0010358
0.00014665,0.062097
0.013001,0.025754
-0.0045898,0.021493
0.035751,0.048406
0.055639,0.022418
-0.005575,-0.027017
-0.026044,-0.043755
0.013216,0.013075
0.0034303,0.040257
0.067038,0.017938
0.036392,-0.0091712
-0.0099754,0.017482
0.02365,0.0088539
0.050648,0.012083
0.012384,0.071737
-0.031356,0.01794
0.0067557,-0.0080986
0.023964,-0.017105
-0.020116,0.028955
-0.023196,-0.02967
-0.04981,-0.057668
-0.039667,-0.0027478
0.0046259,0.025304
0.017997,0.012354
0.0062918,-0.048759
0.0030787,-0.026151
0.020932,0.023457
0.025116,-0.001699
-0.023361,0.006998
-0.0075587,-0.03428
0.013463,-0.037299
0.015464,0.015084
0.034756,0.00034066
-0.033136,-0.0091559
-0.029781,0.035707
-0.0032252,0.048881
0.0088368,-0.024434
-0.0013098,-0.030407
0.042955,-0.0072752
-0.016925,0.0091257
-0.0088769,-0.029653
0.036854,-0.015966
0.0081341,0.046024
0.031912,0.054389
0.044893,-0.0052633
-0.0013799,-0.031015
-0.0048931,0.0012429
0.00020302,0.034969
0.053758,-0.0028994
0.016393,-0.030004
0.0040717,-0.03984
-0.03238,0.0015832
-0.030665,0.032156
0.038703,0.0081521
0.025235,-0.0071877
